wkt_geom,Address,City,province,Country,result_num,osm_id,display_na,category,type,latlong
Point (-79.39386607766603277 43.71149395000000482),241 REDPATH AVE,Toronto,ON,Canada,0,105781578,"Parkwood Towers, 241, Redpath Avenue, Yonge & Eglinton, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 1G4, Canada",building,apartments,"43.711493950000005,-79.39386607766603"
Point (-79.45117899999999622 43.66091329999999715),241 WALLACE AVE,Toronto,ON,Canada,0,40474850,"Wallace Avenue, Junction Triangle, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6P, Canada",highway,residential,"43.6609133,-79.451179"
Point (-79.452789199999998 43.65827819999999804),2400 DUNDAS ST W,Toronto,ON,Canada,0,818705865,"2400, Dundas Street West, High Park North, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6P, Canada",place,house,"43.6582782,-79.4527892"
Point (-79.46728208276097405 43.69186481622717366),2400 EGLINTON AVE W,Toronto,ON,Canada,0,66246282,"2400, Eglinton Avenue West, Keelesdale, York South—Weston, York, Toronto, Golden Horseshoe, Ontario, M6E 4Y2, Canada",place,house,"43.691864816227174,-79.46728208276097"
Point (-79.50816042857142918 43.67561249999999973),240 SCARLETT RD,Toronto,ON,Canada,0,31812024,"Lambton Square, 240, Scarlett Road, York South—Weston, York, Toronto, Golden Horseshoe, Ontario, M6N, Canada",building,apartments,"43.6756125,-79.50816042857143"
Point (-79.37178262005269858 43.66808905000000607),240 WELLESLEY ST E,Toronto,ON,Canada,0,246816100,"The Vancouver, 240, Wellesley Street East, St. James Town, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4X 1P8, Canada",building,apartments,"43.668089050000006,-79.3717826200527"
Point (-79.48319650000000536 43.64977729999999667),2404 BLOOR ST W,Toronto,ON,Canada,0,2405832056,"2404, Bloor Street West, Swansea, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6S, Canada",shop,vacant,"43.6497773,-79.4831965"
Point (-79.54396950000000288 43.75059159999999991),2405 FINCH AVE W,Toronto,ON,Canada,0,32506747,"Weston Towers, 2405, Finch Avenue West, Emery, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M9M 2C7, Canada",building,apartments,"43.7505916,-79.5439695"
Point (-79.39926669999999831 43.71002219999999738),2400 YONGE ST,Toronto,ON,Canada,0,524113901,"Best Buy, 2400, Yonge Street, Yonge & Eglinton, Don Valley West, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 2H6, Canada",shop,vacant,"43.7100222,-79.3992667"
Point (-79.39890979999999843 43.71008969999999749),2401 YONGE ST,Toronto,ON,Canada,0,1949596540,"Yonge Eglinton Medical Centre, 2401, Yonge Street, Yonge & Eglinton, Don Valley West, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 2H6, Canada",amenity,doctors,"43.7100897,-79.3989098"
Point (-79.37949808738190427 43.65522095000000036),244 VICTORIA ST,Toronto,ON,Canada,0,127288088,"Ed Mirvish Theatre, 244, Victoria Street, Downtown Yonge, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 1T8, Canada",amenity,theatre,"43.65522095,-79.3794980873819"
Point (-79.45240736224677391 43.65808930000000032),2440 DUNDAS ST W,Toronto,ON,Canada,0,219669957,"FreshCo, 2440, Dundas Street West, High Park North, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6P 4A9, Canada",shop,supermarket,"43.6580893,-79.45240736224677"
